EvalType,Method,Task,AccMean,AccStdev,AccVar
LOSO,CnnModel,Knot_Tying,0.9448609113693237,0.05662660407378679,0.0032065722889294073
LOSO,CnnModel,Needle_Passing,0.8255896210670471,0.09322475702624203,0.008690855322601863
LOSO,CnnModel,Suturing,0.9544475078582764,0.06199688493438403,0.0038436137415672534
LOSO,LSTMModel,Knot_Tying,0.9554433226585388,0.056735573186565164,0.003218925264808092
LOSO,LSTMModel,Needle_Passing,0.7799012899398804,0.0899132637641022,0.008084395000713016
LOSO,LSTMModel,Suturing,0.8796599626541137,0.0859014352050562,0.007379056570288469
LOSO,NeuralODECnnModel,Knot_Tying,0.9558675646781921,0.05112413461759312,0.002613677140397783
LOSO,NeuralODECnnModel,Needle_Passing,0.8124072790145874,0.1477150332820407,0.02181973105751439
LOSO,NeuralODECnnModel,Suturing,0.9397982239723206,0.07393064082203825,0.005465739652357229
LOUO,CnnModel,Knot_Tying,0.9761628210544586,0.027033257664705657,0.0007307970199663671
LOUO,CnnModel,Needle_Passing,0.8835450836590358,0.13099329434371176,0.017159243163018305
LOUO,CnnModel,Suturing,0.9753689914941788,0.02469984516500931,0.0006100823511754339
LOUO,LSTMModel,Knot_Tying,0.9776381105184555,0.02004129188101386,0.000401653380259992
LOUO,LSTMModel,Needle_Passing,0.8609037143843514,0.07470423686178634,0.005580723005101878
LOUO,LSTMModel,Suturing,0.9371496960520744,0.036786847271608754,0.0013532721321846686
LOUO,NeuralODECnnModel,Knot_Tying,0.982576921582222,0.01494710753911771,0.0002234160237859495
LOUO,NeuralODECnnModel,Needle_Passing,0.8978788341794696,0.11070010650429446,0.012254513580062137
LOUO,NeuralODECnnModel,Suturing,0.9624498561024666,0.029905236370658717,0.000894323162384969
